Question_ID,DataType,Architecture,Score
5a7d2b5755429907fabef0c2,Benchmark,Semantic,0.9817522764
5a7e1a2955429965cec5ea5d,Benchmark,Semantic,0.9886531234
5a8d0e4e5542994ba4e3dbbf,Benchmark,Semantic,0.9656520486
5a807181554299485f5985ec,Benchmark,Semantic,0.9722800255
5a7a276d5542996c55b2dd27,Benchmark,Semantic,0.9594351649
5ab935c755429934fafe6e74,Benchmark,Semantic,1.0
5a77685e5542993569682d83,Benchmark,Semantic,0.9889698029
5a790d8f554299029c4b5eec,Benchmark,Semantic,0.9927096367
5ac3bff15542995ef918c213,Benchmark,Semantic,0.9515430927
5adc65e85542996e68525350,Benchmark,Semantic,0.9873945713
5a7153d05542994082a3e7dc,Benchmark,Semantic,0.9999999404
5adf227a5542992d7e9f92a6,Benchmark,Semantic,0.9902964234
5a8fb3af5542997ba9cb32ee,Benchmark,Semantic,0.978559196
5ab82fe155429919ba4e225a,Benchmark,Semantic,0.9783697724
5ab2342a5542993be8fa98c3,Benchmark,Semantic,0.9796020985
5a8e17ce554299653c1aa169,Benchmark,Semantic,0.9822515845
5a81d0515542990a1d231ed4,Benchmark,Semantic,0.9702041745
5a81d54a55429903bc27b9d4,Benchmark,Semantic,0.9409801364
5ac5101455429924173fb592,Benchmark,Semantic,0.9799826145
5abd0553554299700f9d7963,Benchmark,Semantic,0.9572020173
5ae0120155429925eb1afbfb,Benchmark,Semantic,0.9953756928
5adfe37c554299025d62a377,Benchmark,Semantic,0.9740405679
5ae151985542990adbacf74d,Benchmark,Semantic,0.9255514741
5ab7c3df5542993667794003,Benchmark,Semantic,0.9735221267
5a841b215542990548d0b25b,Benchmark,Semantic,0.9720699787
5a8ac38855429970aeb70300,Benchmark,Semantic,0.9477258325
5ab9ba6e554299743d22ebcd,Benchmark,Semantic,0.9456787705
5ab98e2b5542996be202054e,Benchmark,Semantic,0.9552721977
5ae33cf55542992f92d82268,Benchmark,Semantic,0.9580832124
5a7caae75542996dd594b971,Benchmark,Semantic,0.9725182652
5adfed5e55429942ec259b92,Benchmark,Semantic,0.9887052178
5ae3606b5542991a06ce99a8,Benchmark,Semantic,0.9911201596
5a90740a5542990a98493658,Benchmark,Semantic,0.9234737158
5abec66b5542997ec76fd360,Benchmark,Semantic,0.9103974104
5a72160e55429971e9dc9253,Benchmark,Semantic,0.9734390378
5a8f06075542995b44241f2d,Benchmark,Semantic,0.9051504731
5a7560585542992d0ec05f76,Benchmark,Semantic,0.9763354659
5ae76c625542997ec272763e,Benchmark,Semantic,0.9896271825
5ade6acf554299728e26c71a,Benchmark,Semantic,0.8303566575
5a8d0be85542994ba4e3dbb2,Benchmark,Semantic,0.9747324586
